,Number of features,Sensitivity (Forest),Sensitivity (SVM),Specificity (Forest),Specificity (SVM),Accuracy (Forest),Accuracy (SVM),Precision (Forest),Precision (SVM),F1 Score (Forest),F1 Score (SVM),AUC (Forest),AUC (SVM)
0,1,0.700,0.800,0.778,0.889,0.742,0.848,0.724,0.857,0.712,0.828,0.739,0.844
1,2,0.767,0.733,0.889,0.917,0.833,0.833,0.852,0.880,0.807,0.800,0.828,0.825
2,3,0.767,0.700,0.917,0.889,0.848,0.803,0.885,0.840,0.821,0.764,0.842,0.794
3,4,0.767,0.767,0.833,0.861,0.803,0.818,0.793,0.821,0.780,0.793,0.800,0.814
4,5,0.767,0.767,0.889,0.917,0.833,0.848,0.852,0.885,0.807,0.821,0.828,0.842
5,6,0.833,0.833,0.889,0.972,0.864,0.909,0.862,0.962,0.847,0.893,0.861,0.903
6,7,0.800,0.833,0.861,0.972,0.833,0.909,0.828,0.962,0.814,0.893,0.831,0.903
7,8,0.800,0.833,0.889,0.972,0.848,0.909,0.857,0.962,0.828,0.893,0.844,0.903
8,9,0.800,0.833,0.889,0.917,0.848,0.879,0.857,0.893,0.828,0.862,0.844,0.875
9,10,0.800,0.833,0.889,0.917,0.848,0.879,0.857,0.893,0.828,0.862,0.844,0.875
10,11,0.800,0.833,0.917,0.944,0.864,0.894,0.889,0.926,0.842,0.877,0.858,0.889
11,12,0.800,0.833,0.917,0.944,0.864,0.894,0.889,0.926,0.842,0.877,0.858,0.889
12,13,0.833,0.833,0.917,0.944,0.879,0.894,0.893,0.926,0.862,0.877,0.875,0.889
13,14,0.833,0.833,0.917,0.944,0.879,0.894,0.893,0.926,0.862,0.877,0.875,0.889
14,15,0.767,0.833,0.917,0.917,0.848,0.879,0.885,0.893,0.821,0.862,0.842,0.875
