,Mean (AD),Mean (CN),Std (AD),Std (CN),Min (AD),Min (CN),Median (AD),Median (CN),Max (AD),Max (CN)
BRAIN,950124.65,996334.94,111523.07,100899.49,693786.0,634591.0,943792.5,991563.0,1303590.0,1301340.0
EICV,1451390.18,1458788.27,166893.4,138585.71,1118990.0,1059560.0,1447620.0,1458785.0,1949090.0,1823070.0
VENTRICLES,55529.15,38110.28,27362.52,19498.52,11559.9,7552.46,48609.6,35090.05,152927.0,118808.0
LHIPPOC,2762.6,3533.1,549.72,437.64,1723.31,2610.82,2676.64,3494.13,4853.35,5514.94
RHIPPOC,2952.14,3678.58,578.4,485.29,1768.95,2276.75,2837.31,3739.52,4891.56,5750.4
LINFLATVEN,2249.68,1234.75,1122.05,600.43,638.59,296.26,2056.58,1198.94,6082.04,4551.83
RINFLATVEN,2253.31,1244.29,1258.45,582.33,588.6,318.74,1961.63,1166.51,7210.34,4081.39
LMIDTEMP,2.22,2.56,0.26,0.16,1.5,2.14,2.24,2.58,2.7,2.95
RMIDTEMP,2.26,2.6,0.24,0.18,1.71,2.03,2.25,2.59,2.7,3.01
LINFTEMP,2.29,2.62,0.23,0.17,1.64,2.22,2.28,2.62,2.89,3.05
RINFTEMP,2.29,2.59,0.25,0.19,1.68,2.07,2.31,2.61,2.84,3.14
LFUSIFORM,2.1,2.39,0.25,0.17,1.56,1.94,2.11,2.39,2.84,2.82
RFUSIFORM,2.1,2.37,0.23,0.18,1.5,1.95,2.12,2.36,2.79,2.77
LENTORHIN,2.5,3.19,0.45,0.36,1.56,2.1,2.48,3.24,3.78,3.76
RENTORHIN,2.59,3.3,0.51,0.38,1.5,1.91,2.59,3.35,3.74,4.08
