,mean,std,min,50%,max
BRAIN,973229.79,108598.79,634591.00,974435.50,1303590.00
EICV,1455089.23,153088.23,1059560.00,1454475.00,1949090.00
VENTRICLES,46819.71,25260.11,7552.46,42132.20,152927.00
LHIPPOC,3147.85,628.35,1723.31,3182.57,5514.94
RHIPPOC,3315.36,645.18,1768.95,3381.97,5750.40
LINFLATVEN,1742.22,1031.87,296.26,1473.68,6082.04
RINFLATVEN,1748.80,1101.23,318.74,1446.76,7210.34
LMIDTEMP,2.39,0.28,1.50,2.43,2.95
RMIDTEMP,2.43,0.27,1.71,2.47,3.01
LINFTEMP,2.45,0.26,1.64,2.46,3.05
RINFTEMP,2.44,0.27,1.68,2.46,3.14
LFUSIFORM,2.24,0.26,1.56,2.29,2.84
RFUSIFORM,2.24,0.24,1.50,2.23,2.79
LENTORHIN,2.84,0.53,1.56,2.89,3.78
RENTORHIN,2.94,0.57,1.50,3.03,4.08
